Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day
11/9/2020,1756175,30.20%
11/8/2020,928516,36.90%
11/7/2020,1246356,38.50%
11/6/2020,1840860,31.40%
11/5/2020,1797589,29.80%
11/4/2020,1693937,28.10%
11/3/2020,1606096,29.00%
11/2/2020,1751443,30.10%
11/1/2020,786678,27.30%
10/31/2020,1174079,35.00%
10/30/2020,1771288,29.70%
10/29/2020,1708611,29.60%
10/28/2020,1823028,30.30%
10/27/2020,1818884,30.40%
10/26/2020,1694080,29.40%
10/25/2020,885001,40.20%
10/24/2020,1185612,35.50%
10/23/2020,1846268,31.20%
10/22/2020,1829135,29.90%
10/21/2020,1816797,30.00%
10/20/2020,1784090,30.70%
10/19/2020,1722723,30.40%
10/18/2020,897886,36.90%
10/17/2020,1211061,36.00%
10/16/2020,1674686,27.90%
10/15/2020,1857822,30.50%
10/14/2020,1842638,31.50%
10/13/2020,1718853,29.20%
10/12/2020,1286892,30.20%
10/11/2020,849518,31.90%
10/10/2020,1171657,35.90%
10/9/2020,1811779,30.90%
10/8/2020,1801918,29.80%
10/7/2020,1774408,36.30%
10/6/2020,1762320,30.80%
10/5/2020,1682379,29.40%
10/4/2020,853591,33.90%
10/3/2020,1168073,35.00%
10/2/2020,1794201,29.90%
10/1/2020,1813961,30.10%
9/30/2020,1744524,29.30%
9/29/2020,1664896,32.10%
9/28/2020,1492611,31.30%
9/27/2020,846184,33.30%
9/26/2020,1120175,34.90%
9/25/2020,1765299,30.00%
9/24/2020,1726180,28.50%
9/23/2020,1739043,28.70%
9/22/2020,1702325,28.30%
9/21/2020,1627636,28.30%
9/20/2020,828365,31.70%
9/19/2020,1137948,34.20%
9/18/2020,1728810,28.90%
9/17/2020,1695985,28.10%
9/16/2020,1690405,28.20%
9/15/2020,1681774,28.20%
9/14/2020,1607896,28.30%
9/13/2020,796744,31.10%
9/12/2020,1083727,34.60%
9/11/2020,1693776,28.80%
9/10/2020,1547065,26.00%
9/9/2020,1613662,27.10%
9/8/2020,1559312,26.40%
9/7/2020,872174,39.10%
9/6/2020,819600,32.60%
9/5/2020,1013746,31.50%
9/4/2020,1571533,27.90%
9/3/2020,1532512,26.60%
9/2/2020,1491161,27.10%
9/1/2020,1472491,27.70%
8/31/2020,1400448,26.40%
8/30/2020,748886,30.00%
8/29/2020,774465,26.60%
8/28/2020,1391299,28.30%
8/27/2020,1361128,25.80%
8/26/2020,1410651,27.10%
8/25/2020,1349335,25.90%
8/24/2020,1310101,26.90%
8/23/2020,672193,28.80%
8/22/2020,883393,30.40%
8/21/2020,1390232,28.50%
8/20/2020,1413449,27.70%
8/19/2020,1294931,25.50%
8/18/2020,1372568,26.90%
8/17/2020,1307543,27.10%
8/16/2020,554980,24.40%
8/15/2020,861763,30.10%
8/14/2020,1358798,27.10%
8/13/2020,1294248,24.30%
8/12/2020,1302087,24.80%
8/11/2020,1322978,25.70%
8/10/2020,1278263,25.40%
8/9/2020,663642,26.80%
8/8/2020,834093,27.60%
8/7/2020,1286635,24.90%
8/6/2020,1337819,24.60%
8/5/2020,1351026,25.70%
8/4/2020,1028686,19.20%
8/3/2020,1275951,24.80%
8/2/2020,590675,24.10%
8/1/2020,843372,28.00%
7/31/2020,1260968,24.10%
7/30/2020,1272918,23.30%
7/29/2020,1298880,24.20%
7/28/2020,1244405,23.00%
7/27/2020,1206129,23.40%
7/26/2020,607452,24.90%
7/25/2020,817403,26.80%
7/24/2020,1220649,23.00%
7/23/2020,1236427,22.20%
7/22/2020,1236384,22.10%
7/21/2020,1244544,23.60%
7/20/2020,1159163,22.90%
7/19/2020,585498,26.90%
7/18/2020,779722,29.50%
7/17/2020,1209692,23.20%
7/16/2020,1251884,23.10%
7/15/2020,1251164,22.80%
7/14/2020,1243749,22.40%
7/13/2020,1178204,22.20%
7/12/2020,628918,25.80%
7/11/2020,693789,22.90%
7/10/2020,1032749,19.10%
7/9/2020,1213851,22.10%
7/8/2020,1174733,21.10%
7/7/2020,1159588,21.20%
7/6/2020,1087178,21.20%
7/5/2020,534220,23.10%
7/4/2020,592295,22.80%
7/3/2020,853015,31.30%
7/2/2020,1172848,22.40%
7/1/2020,1122842,21.50%
6/30/2020,1115510,20.90%
6/29/2020,1103086,21.20%
6/28/2020,536488,17.70%
6/27/2020,616084,19.30%
6/26/2020,1104497,20.20%
6/25/2020,1081006,19.10%
6/24/2020,1070527,18.50%
6/23/2020,1053005,19.00%
6/22/2020,1002073,18.50%
6/21/2020,449497,17.10%
6/20/2020,576097,17.40%
6/19/2020,988680,17.80%
6/18/2020,944318,16.60%
6/17/2020,950318,16.60%
6/16/2020,934545,16.70%
6/15/2020,898925,16.50%
6/14/2020,430446,18.50%
6/13/2020,545333,17.00%
6/12/2020,898314,15.70%
6/11/2020,819873,14.40%
6/10/2020,858782,14.60%
6/9/2020,843968,14.70%
6/8/2020,806138,15.30%
6/7/2020,378085,14.60%
6/6/2020,464207,14.20%
6/5/2020,704825,12.40%
6/4/2020,728018,12.70%
6/3/2020,683037,11.90%
6/2/2020,695276,12.60%
6/1/2020,688520,12.40%
5/31/2020,344428,13.60%
5/30/2020,426755,13.50%
5/29/2020,658353,11.40%
5/28/2020,659248,11.50%
5/27/2020,675705,11.90%
5/26/2020,657939,12.10%
5/25/2020,394359,15.10%
5/24/2020,320376,12.60%
5/23/2020,336250,11.20%
5/22/2020,634929,11.70%
5/21/2020,630367,11.10%
5/20/2020,624793,10.60%
5/19/2020,611951,10.40%
5/18/2020,596505,10.70%
5/17/2020,287755,11.00%
5/16/2020,361329,10.60%
5/15/2020,588784,10.30%
5/14/2020,568315,9.60%
5/13/2020,566333,9.60%
5/12/2020,554286,9.60%
5/11/2020,521702,9.60%
5/10/2020,272353,13.10%
5/9/2020,317372,9.90%
5/8/2020,526865,9.30%
5/7/2020,536003,9.10%
5/6/2020,509646,8.70%
5/5/2020,522979,9.00%
5/4/2020,512763,9.10%
5/3/2020,259199,11.10%
5/2/2020,326354,10.10%
